index,evaluationCode,evaluationTitle,evaluationAssignedMethod
1,117108,Evaluation Assigned Directly for UA-022,Direct
2,117109,Evaluation for UA-022.03,Project
3,117109,Evaluation for UA-022.03,JobTitle
4,117109,Evaluation for UA-022.03,Facility
5,117109,Evaluation for UA-022.03,Group
6,117108,Evaluation Assigned Directly for UA-022,Direct
7,117651,Evaluation for UA-022.02,Facility
8,117652,Evaluation for KMS Automation,Group
9,117109,Evaluation for UA-022.03,JobTitle
10,117492,Evaluation for UA-022.01,Project
